SN,Province,District,Sector,Cellule,Village,Code_vil_1,NEP Revision July 2023,,,,,,,,,,,,,,,,,,
81,Kigali City,Nyarugenge,Kigali,Mwendo,Agakomeye,11030201,GE,,,,,,,,,,,,,,,,,,
82,Kigali City,Nyarugenge,Kigali,Mwendo,Akagugu,11030202,GE,,,,,,,,,,,,,,,,,,
83,Kigali City,Nyarugenge,Kigali,Mwendo,Amahoro,11030203,GE,,,,,,,,,,,,,,,,,,
84,Kigali City,Nyarugenge,Kigali,Mwendo,Amajyambere,11030204,GE,,,,,,,,,,,,,,,,,,
85,Kigali City,Nyarugenge,Kigali,Mwendo,Birambo,11030205,GE,,,,,,,,,,,,,,,,,,
86,Kigali City,Nyarugenge,Kigali,Mwendo,Isangano,11030206,GE,,,,,,,,,,,,,,,,,,
87,Kigali City,Nyarugenge,Kigali,Mwendo,Kanyabami,11030207,GE,,,,,,,,,,,,,,,,,,
88,Kigali City,Nyarugenge,Kigali,Mwendo,Karambo,11030208,GE,,,,,,,,,,,,,,,,,,
89,Kigali City,Nyarugenge,Kigali,Mwendo,Mwendo,11030209,GE,,,,,,,,,,,,,,,,,,
90,Kigali City,Nyarugenge,Kigali,Mwendo,Ruhuha,11030210,GE,,,,,,,,,,,,,,,,,,
91,Kigali City,Nyarugenge,Kigali,Mwendo,Ubuzima,11030211,GE,,,,,,,,,,,,,,,,,,
92,Kigali City,Nyarugenge,Kigali,Mwendo,Umutekano,11030212,Fill In,,,,,,,,,,,,,,,,,,
93,Kigali City,Nyarugenge,Kigali,Nyabugogo,Gakoni,11030301,GE,,,,,,,,,,,,,,,,,,
94,Kigali City,Nyarugenge,Kigali,Nyabugogo,Gatare,11030302,GE,,,,,,,,,,,,,,,,,,
95,Kigali City,Nyarugenge,Kigali,Nyabugogo,Giticyinyoni,11030303,Fill In,,,,,,,,,,,,,,,,,,
96,Kigali City,Nyarugenge,Kigali,Nyabugogo,Kadobogo,11030304,GE,,,,,,,,,,,,,,,,,,
97,Kigali City,Nyarugenge,Kigali,Nyabugogo,Kamenge,11030305,Fill In,,,,,,,,,,,,,,,,,,
98,Kigali City,Nyarugenge,Kigali,Nyabugogo,Karama,11030306,GE,,,,,,,,,,,,,,,,,,
99,Kigali City,Nyarugenge,Kigali,Nyabugogo,Kiruhura,11030307,Fill In,,,,,,,,,,,,,,,,,,
100,Kigali City,Nyarugenge,Kigali,Nyabugogo,Nyabikoni,11030308,GE,,,,,,,,,,,,,,,,,,
101,Kigali City,Nyarugenge,Kigali,Nyabugogo,Nyabugogo,11030309,GE,,,,,,,,,,,,,,,,,,
102,Kigali City,Nyarugenge,Kigali,Nyabugogo,Ruhondo,11030310,Fill In,,,,,,,,,,,,,,,,,,
103,Kigali City,Nyarugenge,Kigali,Ruriba,Misibya,11030401,GE,,,,,,,,,,,,,,,,,,
104,Kigali City,Nyarugenge,Kigali,Ruriba,Nyabitare,11030402,GE,,,,,,,,,,,,,,,,,,
105,Kigali City,Nyarugenge,Kigali,Ruriba,Ruhango,11030403,GE,,,,,,,,,,,,,,,,,,
106,Kigali City,Nyarugenge,Kigali,Ruriba,Ruharabuge,11030404,GE,,,,,,,,,,,,,,,,,,
107,Kigali City,Nyarugenge,Kigali,Ruriba,Ruriba,11030405,Fill In,,,,,,,,,,,,,,,,,,
108,Kigali City,Nyarugenge,Kigali,Ruriba,Ruzigimbogo,11030406,GE,,,,,,,,,,,,,,,,,,
109,Kigali City,Nyarugenge,Kigali,Ruriba,Ryamakomari,11030407,GE,,,,,,,,,,,,,,,,,,
110,Kigali City,Nyarugenge,Kigali,Ruriba,Tubungo,11030408,GE,,,,,,,,,,,,,,,,,,
111,Kigali City,Nyarugenge,Kigali,Rwesero,Akanyamirambo,11030501,GE,,,,,,,,,,,,,,,,,,
112,Kigali City,Nyarugenge,Kigali,Rwesero,Akinama,11030502,GE,,,,,,,,,,,,,,,,,,
113,Kigali City,Nyarugenge,Kigali,Rwesero,Makaga,11030503,GE,,,,,,,,,,,,,,,,,,
114,Kigali City,Nyarugenge,Kigali,Rwesero,Musimba,11030504,GE,,,,,,,,,,,,,,,,,,
115,Kigali City,Nyarugenge,Kigali,Rwesero,Ruhogo,11030505,GE,,,,,,,,,,,,,,,,,,
116,Kigali City,Nyarugenge,Kigali,Rwesero,Rwesero,11030506,Fill In,,,,,,,,,,,,,,,,,,
117,Kigali City,Nyarugenge,Kigali,Rwesero,Rweza,11030507,Fill In,,,,,,,,,,,,,,,,,,
118,Kigali City,Nyarugenge,Kigali,Rwesero,Vuganyana,11030508,GE,,,,,,,,,,,,,,,,,,
119,Kigali City,Nyarugenge,Kimisagara,Kamuhoza,Buhoro,11040101,GE,,,,,,,,,,,,,,,,,,
120,Kigali City,Nyarugenge,Kimisagara,Kamuhoza,Busasamana,11040102,GE,,,,,,,,,,,,,,,,,,
121,Kigali City,Nyarugenge,Kimisagara,Kamuhoza,Isimbi,11040103,GE,,,,,,,,,,,,,,,,,,
122,Kigali City,Nyarugenge,Kimisagara,Kamuhoza,Ituze,11040104,GE,,,,,,,,,,,,,,,,,,
123,Kigali City,Nyarugenge,Kimisagara,Kamuhoza,Karama,11040105,GE,,,,,,,,,,,,,,,,,,
124,Kigali City,Nyarugenge,Kimisagara,Kamuhoza,Karwarugabo,11040106,GE,,,,,,,,,,,,,,,,,,
125,Kigali City,Nyarugenge,Kimisagara,Kamuhoza,Kigabiro,11040107,GE,,,,,,,,,,,,,,,,,,
126,Kigali City,Nyarugenge,Kimisagara,Kamuhoza,Mataba,11040108,GE,,,,,,,,,,,,,,,,,,
127,Kigali City,Nyarugenge,Kimisagara,Kamuhoza,Munini,11040109,GE,,,,,,,,,,,,,,,,,,
128,Kigali City,Nyarugenge,Kimisagara,Kamuhoza,Ntaraga,11040110,GE,,,,,,,,,,,,,,,,,,
129,Kigali City,Nyarugenge,Kimisagara,Kamuhoza,Nunga,11040111,Fill In,,,,,,,,,,,,,,,,,,
